Fecha,Hora,Fecha_Hora,Titulo_completo,Titulo_base,Tipo,Temporada,Episodio_titulo,Episodio_num,Minutos_vistos,Dispositivo,Genero,Actor_1,Actor_2,Rotten_Tomatoes
2025-01-10,23:00:12,2025-01-10 23:00:12,The Last Night at Tremore Beach: Limited Series: Blanchard (Episode 2),The Last Night at Tremore Beach,serie,Limited Series,Blanchard,2,39.4,Amazon FIRETVSTICK2023 Set Top Box,Drama,Javier Rey,Ana Polvorosa,
2025-01-18,19:49:57,2025-01-18 19:49:57,Carry-On,Carry-On,pelicula,,,,43.5,Amazon FIRETVSTICK2023 Set Top Box,Action,Taron Egerton,Jason Bateman,87
2025-01-19,13:42:31,2025-01-19 13:42:31,Carry-On,Carry-On,pelicula,,,,46.9,Amazon FIRETVSTICK2023 Set Top Box,Action,Taron Egerton,Jason Bateman,87
2025-01-19,14:44:29,2025-01-19 14:44:29,Carry-On,Carry-On,pelicula,,,,19.0,Amazon FIRETVSTICK2023 Set Top Box,Action,Taron Egerton,Jason Bateman,87
2025-01-19,15:04:07,2025-01-19 15:04:07,"XO, Kitty: Season 1: XO (Episode 1)","XO, Kitty",serie,1,XO,1,0.1,Amazon FIRETVSTICK2023 Set Top Box,Comedy,Anna Cathcart,Choi Min-yeong,
2025-01-19,15:06:14,2025-01-19 15:06:14,"XO, Kitty: Season 1: XO (Episode 1)","XO, Kitty",serie,1,XO,1,24.9,Amazon FIRETVSTICK2023 Set Top Box,Comedy,Anna Cathcart,Choi Min-yeong,
2025-01-19,15:31:08,2025-01-19 15:31:08,"XO, Kitty: Season 1: WTF (Episode 2)","XO, Kitty",serie,1,WTF,2,15.8,Amazon FIRETVSTICK2023 Set Top Box,Comedy,Anna Cathcart,Choi Min-yeong,
2025-01-19,15:47:21,2025-01-19 15:47:21,Fake Profile: Season 1: Dangerous Images (Episode 5),Fake Profile,serie,1,Dangerous Images,5,0.1,Amazon FIRETVSTICK2023 Set Top Box,Drama,Carolina Miranda,Rodolfo Salas,
2025-01-19,15:51:37,2025-01-19 15:51:37,Missing You: Limited Series: Every Breath You Take (Episode 1),Missing You,serie,Limited Series,Every Breath You Take,1,44.1,Amazon FIRETVSTICK2023 Set Top Box,Crime,Rosalind Eleazar,Ashley Walters,
2025-01-19,16:35:48,2025-01-19 16:35:48,Missing You: Limited Series: With or Without You (Episode 2),Missing You,serie,Limited Series,With or Without You,2,38.8,Amazon FIRETVSTICK2023 Set Top Box,Crime,Rosalind Eleazar,Ashley Walters,
2025-01-19,17:14:39,2025-01-19 17:14:39,Missing You: Limited Series: Never Too Much (Episode 3),Missing You,serie,Limited Series,Never Too Much,3,38.0,Amazon FIRETVSTICK2023 Set Top Box,Crime,Rosalind Eleazar,Ashley Walters,
2025-01-24,09:21:51,2025-01-24 09:21:51,Missing You: Limited Series: Never Too Much (Episode 3),Missing You,serie,Limited Series,Never Too Much,3,37.8,Amazon FIRETVSTICK2023 Set Top Box,Crime,Rosalind Eleazar,Ashley Walters,
2025-01-27,13:46:15,2025-01-27 13:46:15,Missing You: Limited Series: Never Too Much (Episode 3),Missing You,serie,Limited Series,Never Too Much,3,37.9,Amazon FIRETVSTICK2023 Set Top Box,Crime,Rosalind Eleazar,Ashley Walters,
2025-01-27,14:24:38,2025-01-27 14:24:38,Missing You: Limited Series: Never Too Much (Episode 3),Missing You,serie,Limited Series,Never Too Much,3,5.3,Amazon FIRETVSTICK2023 Set Top Box,Crime,Rosalind Eleazar,Ashley Walters,
2025-01-27,14:30:02,2025-01-27 14:30:02,Missing You: Limited Series: Don't You Forget About Me (Episode 4),Missing You,serie,Limited Series,Don't You Forget About Me,4,24.7,Amazon FIRETVSTICK2023 Set Top Box,Crime,Rosalind Eleazar,Ashley Walters,
2025-01-27,14:54:53,2025-01-27 14:54:53,Missing You: Limited Series: Don't You Forget About Me (Episode 4),Missing You,serie,Limited Series,Don't You Forget About Me,4,39.7,Amazon FIRETVSTICK2023 Set Top Box,Crime,Rosalind Eleazar,Ashley Walters,
2025-01-27,15:34:54,2025-01-27 15:34:54,Missing You: Limited Series: Chain Reaction (Episode 5),Missing You,serie,Limited Series,Chain Reaction,5,45.0,Amazon FIRETVSTICK2023 Set Top Box,Crime,Rosalind Eleazar,Ashley Walters,
2025-01-27,21:00:12,2025-01-27 21:00:12,Missing You: Limited Series: Every Breath You Take (Episode 1),Missing You,serie,Limited Series,Every Breath You Take,1,0.0,Amazon FIRETVSTICK2023 Set Top Box,Crime,Rosalind Eleazar,Ashley Walters,
2025-01-27,21:00:24,2025-01-27 21:00:24,Missing You: Limited Series: Chain Reaction (Episode 5),Missing You,serie,Limited Series,Chain Reaction,5,25.1,Amazon FIRETVSTICK2023 Set Top Box,Crime,Rosalind Eleazar,Ashley Walters,
2025-01-29,20:28:41,2025-01-29 20:28:41,Missing You: Limited Series: Chain Reaction (Episode 5),Missing You,serie,Limited Series,Chain Reaction,5,17.6,Amazon FIRETVSTICK2023 Set Top Box,Crime,Rosalind Eleazar,Ashley Walters,
2025-01-29,20:47:24,2025-01-29 20:47:24,The Night Agent: Season 2: Call Tracking (Episode 1),The Night Agent,serie,2,Call Tracking,1,0.0,Amazon FIRETVSTICK2023 Set Top Box,Action,Gabriel Basso,Fola Evans-Akingbola,
2025-01-29,20:47:38,2025-01-29 20:47:38,The Night Agent: Season 2: Disconnected (Episode 2),The Night Agent,serie,2,Disconnected,2,46.6,Amazon FIRETVSTICK2023 Set Top Box,Action,Gabriel Basso,Fola Evans-Akingbola,
2025-02-01,21:02:07,2025-02-01 21:02:07,The Night Agent: Season 2: Government Property (Episode 3),The Night Agent,serie,2,Government Property,3,50.1,Amazon FIRETVSTICK2023 Set Top Box,Action,Gabriel Basso,Fola Evans-Akingbola,
2025-02-01,21:52:16,2025-02-01 21:52:16,The Night Agent: Season 2: Desperate Measures (Episode 4),The Night Agent,serie,2,Desperate Measures,4,50.4,Amazon FIRETVSTICK2023 Set Top Box,Action,Gabriel Basso,Fola Evans-Akingbola,
2025-02-01,22:42:44,2025-02-01 22:42:44,The Night Agent: Season 2: A Family Matter (Episode 5),The Night Agent,serie,2,A Family Matter,5,46.6,Amazon FIRETVSTICK2023 Set Top Box,Action,Gabriel Basso,Fola Evans-Akingbola,
2025-02-01,23:29:23,2025-02-01 23:29:23,The Night Agent: Season 2: A Good Agent (Episode 6),The Night Agent,serie,2,A Good Agent,6,48.9,Amazon FIRETVSTICK2023 Set Top Box,Action,Gabriel Basso,Fola Evans-Akingbola,
2025-02-02,00:18:21,2025-02-02 00:18:21,The Night Agent: Season 2: Tilt (Episode 7),The Night Agent,serie,2,Tilt,7,48.4,Amazon FIRETVSTICK2023 Set Top Box,Action,Gabriel Basso,Fola Evans-Akingbola,
2025-02-02,01:06:53,2025-02-02 01:06:53,The Night Agent: Season 2: Divergence (Episode 8),The Night Agent,serie,2,Divergence,8,48.9,Amazon FIRETVSTICK2023 Set Top Box,Action,Gabriel Basso,Fola Evans-Akingbola,
2025-02-02,01:55:46,2025-02-02 01:55:46,The Night Agent: Season 2: Cultural Exchange (Episode 9),The Night Agent,serie,2,Cultural Exchange,9,39.5,Amazon FIRETVSTICK2023 Set Top Box,Action,Gabriel Basso,Fola Evans-Akingbola,
2025-02-02,02:35:18,2025-02-02 02:35:18,The Night Agent: Season 2: Buyer's Remorse (Episode 10),The Night Agent,serie,2,Buyer's Remorse,10,40.8,Amazon FIRETVSTICK2023 Set Top Box,Action,Gabriel Basso,Fola Evans-Akingbola,
2025-02-02,03:16:43,2025-02-02 03:16:43,The Resident: Season 1: No Matter the Cost (Episode 6),The Resident,serie,1,No Matter the Cost,6,8.1,Amazon FIRETVSTICK2023 Set Top Box,Drama,Matt Czuchry,Manish Dayal,
2025-02-18,21:37:09,2025-02-18 21:37:09,Apple Cider Vinegar: Limited Series: Toxic (Episode 1),Apple Cider Vinegar,serie,Limited Series,Toxic,1,66.3,Amazon FIRETVSTICK2023 Set Top Box,Biography,Kaitlyn Dever,Alycia Debnam-Carey,
2025-02-18,22:43:48,2025-02-18 22:43:48,Apple Cider Vinegar: Limited Series: Clean Sheets (Episode 2),Apple Cider Vinegar,serie,Limited Series,Clean Sheets,2,59.2,Amazon FIRETVSTICK2023 Set Top Box,Biography,Kaitlyn Dever,Alycia Debnam-Carey,
2025-02-18,23:43:02,2025-02-18 23:43:02,Apple Cider Vinegar: Limited Series: Pink Dolphins (Episode 3),Apple Cider Vinegar,serie,Limited Series,Pink Dolphins,3,62.0,Amazon FIRETVSTICK2023 Set Top Box,Biography,Kaitlyn Dever,Alycia Debnam-Carey,
2025-02-19,00:45:04,2025-02-19 00:45:04,Apple Cider Vinegar: Limited Series: Mama Aya (Episode 4),Apple Cider Vinegar,serie,Limited Series,Mama Aya,4,0.1,Amazon FIRETVSTICK2023 Set Top Box,Biography,Kaitlyn Dever,Alycia Debnam-Carey,
2025-02-22,01:07:50,2025-02-22 01:07:50,Apple Cider Vinegar: Limited Series: Mama Aya (Episode 4),Apple Cider Vinegar,serie,Limited Series,Mama Aya,4,60.8,Xiaomi aquaman Streaming Stick,Biography,Kaitlyn Dever,Alycia Debnam-Carey,
2025-02-22,02:08:46,2025-02-22 02:08:46,Apple Cider Vinegar: Limited Series: Casseroles (Episode 5),Apple Cider Vinegar,serie,Limited Series,Casseroles,5,61.6,Xiaomi aquaman Streaming Stick,Biography,Kaitlyn Dever,Alycia Debnam-Carey,
2025-02-22,03:10:24,2025-02-22 03:10:24,Apple Cider Vinegar: Limited Series: Tapeworm (Episode 6),Apple Cider Vinegar,serie,Limited Series,Tapeworm,6,60.5,Xiaomi aquaman Streaming Stick,Biography,Kaitlyn Dever,Alycia Debnam-Carey,
2025-02-22,14:34:06,2025-02-22 14:34:06,Zero Day: Limited Series: Episode 1 (Episode 1),Zero Day,serie,Limited Series,Episode 1,1,0.1,Xiaomi soul Streaming Stick,Drama,Robert De Niro,Jesse Plemons,
2025-02-22,14:34:22,2025-02-22 14:34:22,Zero Day: Limited Series: Episode 1 (Episode 1),Zero Day,serie,Limited Series,Episode 1,1,32.2,Xiaomi soul Streaming Stick,Drama,Robert De Niro,Jesse Plemons,
2025-02-22,15:18:56,2025-02-22 15:18:56,Zero Day: Limited Series: Episode 1 (Episode 1),Zero Day,serie,Limited Series,Episode 1,1,14.3,Xiaomi soul Streaming Stick,Drama,Robert De Niro,Jesse Plemons,
2025-02-22,15:33:22,2025-02-22 15:33:22,Zero Day: Limited Series: Episode 2 (Episode 2),Zero Day,serie,Limited Series,Episode 2,2,54.5,Xiaomi soul Streaming Stick,Drama,Robert De Niro,Jesse Plemons,
2025-02-22,16:27:53,2025-02-22 16:27:53,Zero Day: Limited Series: Episode 3 (Episode 3),Zero Day,serie,Limited Series,Episode 3,3,45.7,Xiaomi soul Streaming Stick,Drama,Robert De Niro,Jesse Plemons,
2025-02-22,17:13:39,2025-02-22 17:13:39,Zero Day: Limited Series: Episode 4 (Episode 4),Zero Day,serie,Limited Series,Episode 4,4,94.5,Xiaomi soul Streaming Stick,Drama,Robert De Niro,Jesse Plemons,
2025-02-22,18:54:44,2025-02-22 18:54:44,Zero Day: Limited Series: Episode 5 (Episode 5),Zero Day,serie,Limited Series,Episode 5,5,39.3,Xiaomi soul Streaming Stick,Drama,Robert De Niro,Jesse Plemons,
2025-02-22,19:34:06,2025-02-22 19:34:06,Zero Day: Limited Series: Episode 6 (Episode 6),Zero Day,serie,Limited Series,Episode 6,6,44.4,Xiaomi soul Streaming Stick,Drama,Robert De Niro,Jesse Plemons,
2025-02-23,21:44:39,2025-02-23 21:44:39,Zero Day: Limited Series: Episode 6 (Episode 6),Zero Day,serie,Limited Series,Episode 6,6,0.1,Xiaomi soul Streaming Stick,Drama,Robert De Niro,Jesse Plemons,
2025-02-23,21:45:20,2025-02-23 21:45:20,Zero Day: Limited Series: Episode 4 (Episode 4),Zero Day,serie,Limited Series,Episode 4,4,0.8,Xiaomi soul Streaming Stick,Drama,Robert De Niro,Jesse Plemons,
2025-02-23,21:46:35,2025-02-23 21:46:35,Zero Day: Limited Series: Episode 3 (Episode 3),Zero Day,serie,Limited Series,Episode 3,3,2.4,Xiaomi soul Streaming Stick,Drama,Robert De Niro,Jesse Plemons,
2025-02-23,21:49:16,2025-02-23 21:49:16,Zero Day: Limited Series: Episode 3 (Episode 3),Zero Day,serie,Limited Series,Episode 3,3,43.5,Xiaomi soul Streaming Stick,Drama,Robert De Niro,Jesse Plemons,
2025-02-23,22:32:51,2025-02-23 22:32:51,Zero Day: Limited Series: Episode 4 (Episode 4),Zero Day,serie,Limited Series,Episode 4,4,49.4,Xiaomi soul Streaming Stick,Drama,Robert De Niro,Jesse Plemons,
2025-02-23,23:22:15,2025-02-23 23:22:15,Zero Day: Limited Series: Episode 5 (Episode 5),Zero Day,serie,Limited Series,Episode 5,5,39.3,Xiaomi soul Streaming Stick,Drama,Robert De Niro,Jesse Plemons,
2025-02-24,00:01:37,2025-02-24 00:01:37,Zero Day: Limited Series: Episode 6 (Episode 6),Zero Day,serie,Limited Series,Episode 6,6,0.1,Xiaomi soul Streaming Stick,Drama,Robert De Niro,Jesse Plemons,
2025-02-24,00:09:33,2025-02-24 00:09:33,Zero Day: Limited Series: Episode 6 (Episode 6),Zero Day,serie,Limited Series,Episode 6,6,50.8,Xiaomi aquaman Streaming Stick,Drama,Robert De Niro,Jesse Plemons,
2025-02-24,01:02:31,2025-02-24 01:02:31,Apple Cider Vinegar: Limited Series: Tapeworm (Episode 6),Apple Cider Vinegar,serie,Limited Series,Tapeworm,6,59.4,Xiaomi aquaman Streaming Stick,Biography,Kaitlyn Dever,Alycia Debnam-Carey,
2025-02-24,02:02:42,2025-02-24 02:02:42,Envious: Season 1: All About Vicky (Episode 1),Envious,serie,1,All About Vicky,1,0.1,Xiaomi aquaman Streaming Stick,Comedy,Pilar Uribe,Griselda Siciliani,
2025-02-24,02:05:10,2025-02-24 02:05:10,Envious: Season 2: Head-On Collision (Episode 1),Envious,serie,2,Head-On Collision,1,24.8,Xiaomi aquaman Streaming Stick,Comedy,Pilar Uribe,Griselda Siciliani,
2025-02-24,02:30:01,2025-02-24 02:30:01,Envious: Season 2: When It Rains It Pours (Episode 2),Envious,serie,2,When It Rains It Pours,2,20.6,Xiaomi aquaman Streaming Stick,Comedy,Pilar Uribe,Griselda Siciliani,
2025-02-24,02:50:38,2025-02-24 02:50:38,Envious: Season 2: Something's Missing (Episode 3),Envious,serie,2,Something's Missing,3,22.5,Xiaomi aquaman Streaming Stick,Comedy,Pilar Uribe,Griselda Siciliani,
2025-02-24,03:13:12,2025-02-24 03:13:12,Envious: Season 2: The Sect (Episode 4),Envious,serie,2,The Sect,4,23.6,Xiaomi aquaman Streaming Stick,Comedy,Pilar Uribe,Griselda Siciliani,
2025-02-24,03:36:53,2025-02-24 03:36:53,Envious: Season 2: Flying High (Episode 5),Envious,serie,2,Flying High,5,0.1,Xiaomi aquaman Streaming Stick,Comedy,Pilar Uribe,Griselda Siciliani,
2025-02-24,18:40:12,2025-02-24 18:40:12,Envious: Season 2: When It Rains It Pours (Episode 2),Envious,serie,2,When It Rains It Pours,2,20.6,Xiaomi soul Streaming Stick,Comedy,Pilar Uribe,Griselda Siciliani,
2025-02-24,19:03:31,2025-02-24 19:03:31,Envious: Season 2: Something's Missing (Episode 3),Envious,serie,2,Something's Missing,3,22.5,Xiaomi soul Streaming Stick,Comedy,Pilar Uribe,Griselda Siciliani,
2025-02-24,19:26:05,2025-02-24 19:26:05,Envious: Season 2: The Sect (Episode 4),Envious,serie,2,The Sect,4,23.6,Xiaomi soul Streaming Stick,Comedy,Pilar Uribe,Griselda Siciliani,
2025-02-24,19:50:23,2025-02-24 19:50:23,Envious: Season 2: Flying High (Episode 5),Envious,serie,2,Flying High,5,23.5,Xiaomi soul Streaming Stick,Comedy,Pilar Uribe,Griselda Siciliani,
2025-02-24,20:13:56,2025-02-24 20:13:56,Envious: Season 2: Love Ninja (Episode 6),Envious,serie,2,Love Ninja,6,26.7,Xiaomi soul Streaming Stick,Comedy,Pilar Uribe,Griselda Siciliani,
2025-02-24,20:40:42,2025-02-24 20:40:42,Envious: Season 2: Leg or Thigh (Episode 7),Envious,serie,2,Leg or Thigh,7,6.3,Xiaomi soul Streaming Stick,Comedy,Pilar Uribe,Griselda Siciliani,
2025-02-24,21:24:31,2025-02-24 21:24:31,Envious: Season 2: Leg or Thigh (Episode 7),Envious,serie,2,Leg or Thigh,7,17.1,Xiaomi soul Streaming Stick,Comedy,Pilar Uribe,Griselda Siciliani,
2025-02-24,21:41:41,2025-02-24 21:41:41,Envious: Season 2: Offside Romance (Episode 8),Envious,serie,2,Offside Romance,8,26.2,Xiaomi soul Streaming Stick,Comedy,Pilar Uribe,Griselda Siciliani,
2025-02-24,22:07:58,2025-02-24 22:07:58,Envious: Season 2: A World of Coincidence (Episode 9),Envious,serie,2,A World of Coincidence,9,31.1,Xiaomi soul Streaming Stick,Comedy,Pilar Uribe,Griselda Siciliani,
2025-02-24,22:39:15,2025-02-24 22:39:15,Envious: Season 2: Maternity Graduate (Episode 10),Envious,serie,2,Maternity Graduate,10,25.1,Xiaomi soul Streaming Stick,Comedy,Pilar Uribe,Griselda Siciliani,
2025-02-24,23:04:20,2025-02-24 23:04:20,Envious: Season 2: A Perfect Breakfast (Episode 11),Envious,serie,2,A Perfect Breakfast,11,24.9,Xiaomi soul Streaming Stick,Comedy,Pilar Uribe,Griselda Siciliani,
2025-02-24,23:29:40,2025-02-24 23:29:40,Cassandra: Limited Series: A Fresh Start (Episode 1),Cassandra,serie,Limited Series,A Fresh Start,1,44.1,Xiaomi soul Streaming Stick,Drama,Lavinia Wilson,Franz Hartwig,
2025-02-25,00:13:49,2025-02-25 00:13:49,Cassandra: Limited Series: Who Am I (Episode 2),Cassandra,serie,Limited Series,Who Am I,2,13.2,Xiaomi soul Streaming Stick,Drama,Lavinia Wilson,Franz Hartwig,
2025-02-25,00:37:50,2025-02-25 00:37:50,The Recruit: Season 1: I.N.A.S.I.A.L. (Episode 1),The Recruit,serie,1,I.N.A.S.I.A.L.,1,48.7,Xiaomi aquaman Streaming Stick,Action,Noah Centineo,Aarti Mann,
2025-02-25,01:26:40,2025-02-25 01:26:40,The Recruit: Season 1: N.L.T.S.Y.P. (Episode 2),The Recruit,serie,1,N.L.T.S.Y.P.,2,53.9,Xiaomi aquaman Streaming Stick,Action,Noah Centineo,Aarti Mann,
2025-02-25,02:20:34,2025-02-25 02:20:34,The Recruit: Season 1: Y.D.E.K.W.Y.D. (Episode 3),The Recruit,serie,1,Y.D.E.K.W.Y.D.,3,50.1,Xiaomi aquaman Streaming Stick,Action,Noah Centineo,Aarti Mann,
2025-02-25,03:10:42,2025-02-25 03:10:42,The Recruit: Season 1: I.Y.D.I.A.A.C. (Episode 4),The Recruit,serie,1,I.Y.D.I.A.A.C.,4,0.1,Xiaomi aquaman Streaming Stick,Action,Noah Centineo,Aarti Mann,
2025-02-25,19:03:52,2025-02-25 19:03:52,The Recruit: Season 1: I.Y.D.I.A.A.C. (Episode 4),The Recruit,serie,1,I.Y.D.I.A.A.C.,4,0.2,Xiaomi soul Streaming Stick,Action,Noah Centineo,Aarti Mann,
2025-02-25,19:04:18,2025-02-25 19:04:18,The Recruit: Season 1: N.L.T.S.Y.P. (Episode 2),The Recruit,serie,1,N.L.T.S.Y.P.,2,55.0,Xiaomi soul Streaming Stick,Action,Noah Centineo,Aarti Mann,
2025-02-25,20:00:23,2025-02-25 20:00:23,The Recruit: Season 1: Y.D.E.K.W.Y.D. (Episode 3),The Recruit,serie,1,Y.D.E.K.W.Y.D.,3,50.1,Xiaomi soul Streaming Stick,Action,Noah Centineo,Aarti Mann,
2025-02-25,20:50:29,2025-02-25 20:50:29,The Recruit: Season 1: I.Y.D.I.A.A.C. (Episode 4),The Recruit,serie,1,I.Y.D.I.A.A.C.,4,28.9,Xiaomi soul Streaming Stick,Action,Noah Centineo,Aarti Mann,
2025-03-14,20:00:53,2025-03-14 20:00:53,Adolescence: Limited Series: Episode 1 (Episode 1),Adolescence,serie,Limited Series,Episode 1,1,64.4,Amazon FIRETVSTICK2023 Set Top Box,Crime,Stephen Graham,Owen Cooper,
2025-03-14,21:05:27,2025-03-14 21:05:27,Adolescence: Limited Series: Episode 2 (Episode 2),Adolescence,serie,Limited Series,Episode 2,2,48.1,Amazon FIRETVSTICK2023 Set Top Box,Crime,Stephen Graham,Owen Cooper,
2025-03-14,21:53:36,2025-03-14 21:53:36,Adolescence: Limited Series: Episode 3 (Episode 3),Adolescence,serie,Limited Series,Episode 3,3,50.3,Amazon FIRETVSTICK2023 Set Top Box,Crime,Stephen Graham,Owen Cooper,
2025-03-14,22:43:56,2025-03-14 22:43:56,Adolescence: Limited Series: Episode 4 (Episode 4),Adolescence,serie,Limited Series,Episode 4,4,54.7,Amazon FIRETVSTICK2023 Set Top Box,Crime,Stephen Graham,Owen Cooper,
2025-03-15,11:18:08,2025-03-15 11:18:08,Adolescence: Limited Series: Episode 4 (Episode 4),Adolescence,serie,Limited Series,Episode 4,4,9.6,Amazon FIRETVSTICK2023 Set Top Box,Crime,Stephen Graham,Owen Cooper,
2025-03-15,11:31:15,2025-03-15 11:31:15,Running Point: Season 1: Pilot (Episode 1),Running Point,serie,1,Pilot,1,28.4,Amazon FIRETVSTICK2023 Set Top Box,Comedy,Kate Hudson,Brenda Song,
2025-03-15,11:59:42,2025-03-15 11:59:42,Running Point: Season 1: Joe Pesci (Episode 2),Running Point,serie,1,Joe Pesci,2,30.1,Amazon FIRETVSTICK2023 Set Top Box,Comedy,Kate Hudson,Brenda Song,
2025-03-15,12:29:49,2025-03-15 12:29:49,Running Point: Season 1: The Travis Bugg Affair (Episode 3),Running Point,serie,1,The Travis Bugg Affair,3,2.6,Amazon FIRETVSTICK2023 Set Top Box,Comedy,Kate Hudson,Brenda Song,
2025-03-15,15:29:34,2025-03-15 15:29:34,Running Point: Season 1: The Travis Bugg Affair (Episode 3),Running Point,serie,1,The Travis Bugg Affair,3,30.1,Amazon FIRETVSTICK2023 Set Top Box,Comedy,Kate Hudson,Brenda Song,
2025-03-15,15:59:56,2025-03-15 15:59:56,Running Point: Season 1: Doljanchi (Episode 4),Running Point,serie,1,Doljanchi,4,23.5,Amazon FIRETVSTICK2023 Set Top Box,Comedy,Kate Hudson,Brenda Song,
2025-03-15,16:23:25,2025-03-15 16:23:25,Running Point: Season 1: Beshert (Episode 5),Running Point,serie,1,Beshert,5,28.1,Amazon FIRETVSTICK2023 Set Top Box,Comedy,Kate Hudson,Brenda Song,
2025-03-15,16:51:35,2025-03-15 16:51:35,Running Point: Season 1: The Yips (Episode 6),Running Point,serie,1,The Yips,6,25.3,Amazon FIRETVSTICK2023 Set Top Box,Comedy,Kate Hudson,Brenda Song,
2025-03-15,17:16:53,2025-03-15 17:16:53,Running Point: Season 1: A Special Place in Hell (Episode 7),Running Point,serie,1,A Special Place in Hell,7,26.8,Amazon FIRETVSTICK2023 Set Top Box,Comedy,Kate Hudson,Brenda Song,
2025-03-15,17:43:40,2025-03-15 17:43:40,Running Point: Season 1: The Streak (Episode 8),Running Point,serie,1,The Streak,8,24.1,Amazon FIRETVSTICK2023 Set Top Box,Comedy,Kate Hudson,Brenda Song,
2025-03-15,18:22:53,2025-03-15 18:22:53,Running Point: Season 1: The Streak (Episode 8),Running Point,serie,1,The Streak,8,4.7,Amazon FIRETVSTICK2023 Set Top Box,Comedy,Kate Hudson,Brenda Song,
2025-03-15,18:27:38,2025-03-15 18:27:38,Running Point: Season 1: The Playoffs (Episode 9),Running Point,serie,1,The Playoffs,9,4.5,Amazon FIRETVSTICK2023 Set Top Box,Comedy,Kate Hudson,Brenda Song,
2025-03-19,22:05:11,2025-03-19 22:05:11,Running Point: Season 1: The Playoffs (Episode 9),Running Point,serie,1,The Playoffs,9,25.6,Amazon FIRETVSTICK2023 Set Top Box,Comedy,Kate Hudson,Brenda Song,
